node_from,node_to,capacity_2030,capacity_2040,expand_2030,expand_2040,distance,cost_scaling,type
NO_main,NO_coast,10000,0,1,1,0,1,ac
NO_coast,NO_wind,0,0,1,1,0,1,dcmesh_conv
NO_coast,DK_coast_1,1700,0,1,1,0,1,dcdirect
NO_coast,DK_coast_2,1400,0,1,1,0,1,dcdirect
NO_coast,DE_coast,1400,0,1,1,0,1,dcdirect
NO_coast,UK_coast_1,1400,0,1,1,0,1,dcdirect
NO_coast,NL_coast_1,700,0,1,1,0,1,dcdirect
DK_main,DK_coast_1,2500,0,1,1,0,1,ac
DK_main,DK_coast_2,2500,0,1,1,0,1,ac
DK_coast_1,DK_wind,0,0,1,1,0,1,dcmesh_conv
DK_coast_2,DK_wind,0,0,1,1,0,1,dcmesh_conv
DK_coast_2,UK_coast_2,1400,0,1,1,0,1,dcdirect
DK_coast_2,NL_coast_1,700,0,1,1,0,1,dcdirect
DE_main,DE_coast,15000,0,1,1,0,1,ac
DE_coast,DE_wind,0,0,1,1,0,1,dcmesh_conv
DE_coast,NL_coast_1,700,0,1,1,0,1,dcdirect
NL_main,NL_coast_1,5000,0,1,1,0,1,ac
NL_main,NL_coast_2,5000,0,1,1,0,1,ac
NL_coast_1,NL_wind_1,0,0,1,1,0,1,dcmesh_conv
NL_coast_2,NL_wind_2,0,0,1,1,0,1,dcmesh_conv
NL_coast_2,UK_coast_2,2000,0,1,1,0,1,dcdirect
BE_main,BE_coast,5000,0,1,1,0,1,ac
BE_coast,BE_wind,0,0,1,1,0,1,dcmesh_conv
BE_coast,UK_coast_2,1000,0,1,1,0,1,dcdirect
UK_main,UK_coast_1,5000,0,1,1,0,1,ac
UK_main,UK_coast_2,10000,0,1,1,0,1,ac
UK_coast_1,UK_wind_1,0,0,1,1,0,1,dcmesh_conv
UK_coast_2,UK_wind_2,0,0,1,1,0,1,dcmesh_conv
DK_main,DE_main,3500,0,0,0,0,1,ac
DE_main,BE_main,1000,0,0,0,0,1,ac
NL_main,BE_main,2400,0,0,0,0,1,ac
NL_main,DE_main,1300,0,0,0,0,1,ac





