Node,Fuel,Value
BE,Biofuels,411.76
BE,Gas,18047.62
BE,Hydro,1161.06
BE,Oil,5.14
BE,Other Non RES,2010.73
BE,Other RES,2246.59
BE,Solar,14824.489999999998
BE,Wind Offshore,21754.26
BE,Wind Onshore,12293.68
DE,Coal & Lignite,63937.36
DE,Gas,50819.3
DE,Hydro,35993.05
DE,Oil,18.58
DE,Other Non RES,56326.11
DE,Other RES,44091.75
DE,Solar,59709.51
DE,Wind Offshore,163868.39
DE,Wind Onshore,182319.33000000002
DK,Biofuels,2606.3500000000004
DK,Gas,610.38
DK,Oil,13.469999999999999
DK,Other Non RES,245.41
DK,Other RES,497.91
DK,Solar,5230.52
DK,Wind Offshore,66099.89
DK,Wind Onshore,12435.13
NL,Biofuels,5326.11
NL,Gas,19616.72
NL,Hydro,120.6
NL,Nuclear,3107.02
NL,Other Non RES,2896.41
NL,Other RES,2053.8
NL,Solar,45861.05
NL,Wind Offshore,80029.63
NL,Wind Onshore,20958.34
NO,Hydro,155549.0
NO,Other Non RES,1857.24
NO,Other RES,0.18
NO,Solar,120.82999999999998
NO,Wind Offshore,11523.7
NO,Wind Onshore,30153.2
UK,Biofuels,94.17
UK,Gas,20556.16
UK,Hydro,7244.16
UK,Nuclear,47641.3
UK,Oil,0.51
UK,Other Non RES,1764.48
UK,Other RES,54172.740000000005
UK,Solar,27958.170000000002
UK,Wind Offshore,185378.72
UK,Wind Onshore,64701.53
